Check (release year) as well?

[18/Feb/2019 15:29:09] WARNING [MYAPP:209] Found Western Press, not full scores
[18/Feb/2019 15:29:11] WARNING [MYAPP:209] Found Without Within, not full scores
[18/Feb/2019 15:29:14] WARNING [MYAPP:209] Found Words for Evil, not full scores
[18/Feb/2019 15:29:19] WARNING [MYAPP:253] Found Ys I, no time recorded
[18/Feb/2019 15:29:27] WARNING [MYAPP:253] Found Zombie Estate, no time recorded
[18/Feb/2019 15:29:56] WARNING [MYAPP:253] Found War for the Overworld - Heart of Gold DLC, no time recorded
[18/Feb/2019 15:32:01] WARNING [MYAPP:253] Found SIMULCRA, no time recorded
[18/Feb/2019 15:32:30] WARNING [MYAPP:253] Found Space Jockey, no time recorded
[18/Feb/2019 15:32:35] WARNING [MYAPP:253] Found The Fairly Odd Parents Volume 2, no time recorded
[18/Feb/2019 15:33:23] WARNING [MYAPP:253] Found Imagine Teacher School Trip, no time recorded
[18/Feb/2019 15:33:36] WARNING [MYAPP:253] Found Nickelodeon Barnyard, no time recorded
[18/Feb/2019 15:33:41] WARNING [MYAPP:253] Found Bases Loaded, no time recorded
[18/Feb/2019 15:33:46] WARNING [MYAPP:253] Found Caesars Palace, no time recorded
[18/Feb/2019 15:33:55] WARNING [MYAPP:253] Found Playstation Underground 1, no time recorded
[18/Feb/2019 15:34:02] WARNING [MYAPP:253] Found Playstation Underground 2, no time recorded
[18/Feb/2019 15:34:10] WARNING [MYAPP:253] Found Sony Interactive Volume 1, no time recorded
[18/Feb/2019 15:34:22] WARNING [MYAPP:253] Found SteamWorld Dig This is definitely wrong, no time recorded
[18/Feb/2019 15:35:11] WARNING [MYAPP:253] Found WF Smackdown, no time recorded
[18/Feb/2019 15:35:16] WARNING [MYAPP:253] Found Imperium Galactica II: Alliances, no time recorded
[18/Feb/2019 15:35:23] WARNING [MYAPP:253] Found Picross Fairytale - nonogram: Red Riding Hood secret, no time recorded
[18/Feb/2019 15:35:50] WARNING [MYAPP:253] Found Treadnauts, no time recorded
[18/Feb/2019 15:35:52] WARNING [MYAPP:209] Found Treadnauts, not full scores
[18/Feb/2019 15:35:53] WARNING [MYAPP:253] Found Sojourner, no time recorded
[18/Feb/2019 15:35:56] WARNING [MYAPP:209] Found Sojourner, not full scores
[18/Feb/2019 15:35:57] WARNING [MYAPP:253] Found Knight Club, no time recorded
[18/Feb/2019 15:35:59] WARNING [MYAPP:209] Found Knight Club, not full scores
[18/Feb/2019 15:36:00] WARNING [MYAPP:253] Found iii --- Typo, no time recorded
[18/Feb/2019 15:36:09] WARNING [MYAPP:253] Found Locked Hear  -- TYPO, no time recorded
[18/Feb/2019 15:36:10] WARNING [MYAPP:305] Locked Hear  -- TYPO - IIO
[18/Feb/2019 15:36:10] WARNING [MYAPP:306] <type 'exceptions.IndexError'>
[18/Feb/2019 15:36:10] WARNING [MYAPP:307] string index out of range
[18/Feb/2019 15:36:10] ERROR [MYAPP:308] None
[18/Feb/2019 15:36:11] WARNING [MYAPP:253] Found Pacific -- Typo?, no time recorded
